,name,faction,role,link
140,Agnieszka Brugger,gruene,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/B/brugger_agnieszka-518722
141,Katja Dörner,gruene,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/D/doerner_katja-519088
142,Anja Hajduk,gruene,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/H/hajduk_anja-520052
143,Oliver Krischer,gruene,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/K/krischer_oliver-521322
144,Dr. Konstantin von Notz,gruene,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/N/notz_konstantin-522400
145,Claudia Roth,gruene,Bundestagsvizepräsidentin,https://www.bundestag.de/abgeordnete/biografien/R/roth_claudia-523038
146,Dr. Alexander Gauland,afd,Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/G/519654-519654
147,Dr. Alice Weidel,afd,Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/W/524466-524466
148,Tino Chrupalla,afd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/C/518884-518884
149,Peter Felser,afd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/F/519410-519410
150,Leif-Erik Holm,afd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/H/520498-520498
151,Sebastian Münzenmaier,afd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/M/522230-522230
152,Beatrix von Storch,afd,Stellvertretende Fraktionsvorsitzende,https://www.bundestag.de/abgeordnete/biografien/S/523916-523916
153,Dr. Bernd Baumann,afd,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/B/518202-518202
154,Dr. Götz Frömming,afd,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/F/519578-519578
155,Dr. Roland Hartwig,afd,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/H/520122-520122
156,Enrico Komnin,afd,Parlamentarische Geschäftsführer,https://www.bundestag.de/abgeordnete/biografien/K/521216-521216
157,Stephan Brandner,afd,Fraktionsjustiziar,https://www.bundestag.de/abgeordnete/biografien/B/518604-518604
